"sku","Cost","Retail","weight"
"SBWB0101",1.02,1.64,1
"SBWB0102",0.76,1.22,1
"SBWB0103",1.56,2.5,1
"SBWB0105",8.08,12.94,1
"SBWB0106",1.42,2.28,1
"SBWB0107",26.77,42.83,1
"SBWB0108",99.98,159.97,2
"SBWB0109",11.19,17.9,1
"SBWB0111",32.29,51.66,1
"SBWB0112",32.73,52.37,1
"SBWB0113",,8.99,1
"SBWB0114",10.96,17.54,1
"SBWB0115",,69.36,1
"SBWB0117",,388.89,0
"SBWB0200",,61.22,0
"SBWB0203",,460.54,0
"SBWB0204",,617.04,0
"SBWB0205",3.9,6.24,1
"SBWB0206",,1217.98,76
"SBWB0207",364.75,583.6,40
"SBWB0208",,145.95,30
"SBWB1000",,155.2,5
"SBWB1001",204.72,404.16,44
"SBWB1002",,17.6,2
"SBWB1003",10.76,17.22,5
"SBWB1008",18.9,67.95,10
"SBWB2000",5.5,32,1
"SBWB2001",30,48,1
"SBWB2002",5.5,64,1
"SBWB2003",5,8,1
"SBWB3000",,78.38,1
"SBWB3002",95,152,2
"SBWB3003",37.91,60.66,1
"SBWB3004",,55.76,2
"SBWB3006",1.2,1.92,1
"SBWB3007",24.83,39.73,2
"SBWB3008",29.88,47.81,1
"SBWB3009",9.94,15.9,1
"SBWB3010",12.94,20.7,1
"SBWB3011",1.17,1.99,1
"SBWB3013",61.57,98.51,3
"SBWB3014",6.19,9.9,2
"SBWB3015",8.59,13.75,1
"SBWB3016",8.59,13.75,1
"SBWB3017",4.18,6.69,1
"SBWB3018",66.23,105.97,3
"SBWB3019",30.89,49.44,2
"SBWB3020",4.33,6.94,1
"SBWB3021",133.03,212.85,6
"SBWB3026",8.82,14.12,1
"SBWB3027",,84,0
"SBWB3029",,20.79,2
"SBWB3030",,37.7,1
"SBWB3034",14.68,23.49,1
"SBWB3036",,52.8,5
"SBWB3037",38.68,61.89,2
"SBWB3040",5.87,9.39,1
"SBWB3041",6.39,9.39,1
"SBWB3043",28.18,45.09,4
"SBWB30433",,42.95,2.5
"SBWB3044",33.66,53.86,2
"SBWB3045",1.46,2.34,1
"SBWB3046",,23.5,1
"SBWB3047",1.38,2.21,1
"SBWB3048",,1.95,1
"SBWB3049",,1.95,1
"SBWB3050",,0.95,1
"SBWB3051",4.07,6.51,1
"SBWB3052",,10.5,1
"SBWB3053",,95.94,2
"SBWB3054",6.85,10.96,1
"SBWB3055",10,16,1
"SBWB3056",1.33,2.13,1
"SBWB3058",,14.86,1
"SBWB3059",173.6,277.76,19
"SBWB3064",396,633.6,6
"SBWB3065",,71.97,1
"SBWB3067H",,14.51,3
"SBWB3069",,14.82,1
"SBWB3070",4.34,6.94,1
"SBWB3071",54.45,87.12,2
"SBWB3072",,1295.99,150
"SBWB3074",,34.56,1
"SBWB3075",,34.56,1
"SBWB3077",,78.72,1
"SBWB3078",,94.99,0
"SBWB3080",,34.56,1
"SBWB3081",4035,6456,"contact us for freight quote"
"SBWB3082",71.38,114.21,5
"SBWB3093",16,25.6,1
"SBWB3107",25,40,1
"SBWB3108",,49.99,0
"SBWB3117",,9.95,0
"SBWB3129",16,25.95,1
"SBWB3130",16,25.95,1
"SBWB6000",282.31,451.7,47
"SBWB7026",,28.78,1
"SBWC0100",3.55,5.67,2
"SBWC0101",8.86,14.29,1
"SBWC0102",4.68,7.49,1
"SBWC0103",6.71,10.74,1
"SBWC0104",7.8,12.48,1
"SBWC2001",3.24,5.18,4
"SBWC2002",9.66,15.46,5
"SBWC2003",2.9,4.63,1
"SBWC2004",2.48,3.97,1
"SBWC2005",9.11,14.58,1
"SBWC2006",7.96,12.74,2
"SBWC2007",14,22.4,2
"SBWC2008",2.28,3.65,1
"SBWC2009",,2.5,1
"SBWC4000",,23.99,1
"SBWC4001",0.57,0.91,1
"SBWC5000",,82.39,0
"SBWC7001",0.32,0.51,1
"SBWC7012",,34.06,4
"SBWC8038",31.67,38.06,1
"SBWE0001",,11222.4,353
"SBWE0002",605,968,48
"SBWE0007",89.45,143.12,1
"SBWE0008",13.22,21.15,1
"SBWE0009",30.32,48.51,1
"SBWE0014",8.04,12.86,1
"SBWE0015",25,40,1
"SBWE0099",24,38.4,2
"SBWE0100",5.66,9.06,1
"SBWE0102",35.84,57.34,1
"SBWE0104",22.5,36,1
"SBWE0108",28,44.8,1
"SBWE0110",18.5,29.6,1
"SBWE2000",21.35,34.16,1
"SBWE2001",38.05,60.88,4
"SBWE2002",,8.45,1
"SBWE2003",,10.4,1
"SBWE2004",25.65,37.36,2
"SBWE2005",5.5,6.25,1
"SBWE2006",,195.2,0
"SBWE2007",,3.26,1
"SBWE2008",25.5,40.8,2
"SBWE2009",2,3.2,1
"SBWE2010",,256.66,1.2
"SBWE2011",,36.35,1
"SBWE2012",,87.14,1
"SBWE2013",,170.35,1
"SBWE2014",,115.98,2
"SBWE2015",,194.88,2
"SBWE2016",,23.36,1
"SBWE2100",,275.2,1
"SBWE2200",,63.92,2
"SBWE3001",,240,3
"SBWE3002",,20.16,0
"SBWE3003",,60.48,0
"SBWE3004",,141.12,0
"SBWE3005",,161.28,0
"SBWE3006",,322.56,0
"SBWE3007",,40.32,0
"SBWE3008",,80.64,0
"SBWE3009",,100.8,0
"SBWE3010",,120.96,0
"SBWE3011",,181.44,0
"SBWE3012",,201.6,0
"SBWE3013",,221.76,0
"SBWE3014",,241.92,0
"SBWE3015",,262.08,0
"SBWE3016",,282.24,0
"SBWE3017",,302.4,0
"SBWE4001",120.75,165,8
"SBWE4003",51,81.6,7
"SBWE4004",236.64,378.62,13
"SBWE4020",,72,0
"SBWE4021",,463.76,0
"SBWE4022",297.5,476,15
"SBWE4701",8733.48,13973.57,"contact us for freight quote"
"SBWE4702",74.55,119.28,4
"SBWE4703",103.95,166.32,3
"SBWE4704",23.2,37.12,4
"SBWE4705",16,25.6,3
"SBWE4706",23,36.8,3
"SBWE4707",8270,13232,"contact us for freight quote"
"SBWE4708",7257,11611.2,"contact us for freight quote"
"SBWE4709",2236.05,3577.68,"contact us for freight quote"
"SBWE4710",203,324.8,15
"SBWE4711",69,110.4,4
"SBWE4712",433.5,693.6,6
"SBWE4713",,620.98,6
"SBWE4714",34.21,54.74,3
"SBWE4717",285.6,456.96,3
"SBWE4718",,46.86,2
"SBWE4719",88.89,142.22,2
"SBWE4720",,132.62,4
"SBWE4721",,39.98,3
"SBWE4722",,3.66,1
"SBWE4723",,102.38,38
"SBWE4724",,226.98,15
"SBWE4725",28.25,45.2,1
"SBWE4726",,403.98,0
"SBWE4727",16.04,25.66,3
"SBWE5000",49,78.4,5
"SBWE5014",4.5,7.2,1
"SBWE5015",,44.32,0
"SBWE5033",2,3.2,1
"SBWE5034",109.6,175.36,4
"SBWE5041",12.64,20.22,1
"SBWE5046",47.1,75.36,7
"SBWE5047",,10.14,0.13
"SBWE5056",19.99,28.77,1
"SBWE5070",17.5,28,1
"SBWE5084",18.9,30.24,1
"SBWE5125",,154.99,0
"SBWE5134",10.69,21.39,1
"SBWE5136",16.54,20.95,1
"SBWE5182",19.25,30.8,1
"SBWE5188",393.5,629.6,11
"SBWE6029",,125,0
"SBWF0106",68,108.8,25
"SBWFOAMDISPLAYS",,35,1
"SBWI0101",24.66,39.46,3
"SBWI0200",17.35,27.76,5
"SBWI0305",42.72,68.35,1
"SBWI0306",27.59,44.14,1
"SBWN1002",7.38,11.81,2
"SBWN2000",8.4,13.44,2
"SBWN2001",10.69,17.1,3
"SBWN2003",10.4,16.64,3
"SBWN300",,8.45,0
"SBWN3001",3,4.8,1
"SBWN3003",0.84,1.34,1
"SBWN3004",90,126.8,4
"SBWN6003",2.98,4.77,1
"SBWN6030",,26.99,0
"SBWN6031",15,24,2
"SBWN6032",20,32,2
"SBWN6048",3.3,5.28,1
"SBWN7000",1.11,1.78,1
"SBWP0009",557,891.2,50
"SBWP0014",458,732.8,50
"SBWP0015",678,1084.8,65
"SBWP0016",568,908.8,30
"SBWP0017",201,321.6,17
"SBWP0018",3.5,5.6,1
"SBWP0019",16.25,26,1
"SBWP0020",6.88,11.01,1
"SBWP0021",0.33,0.53,1
"SBWP0022",0.79,1.26,1
"SBWP0023",0.79,1.26,1
"SBWP0032",66.4,106.24,1
"SBWP0033",1.97,3.15,1
"SBWP0034",54,86.4,4
"SBWP0036",201,321.6,17
"SBWP0037",17.76,28.42,1
"SBWP0038",201,321.6,17
"SBWP0039",732,1171.2,30
"SBWP0040",219,350.4,17
"SBWP0041",65,104,5
"SBWP0042",57.82,92.51,2
"SBWP0043",61.84,98.94,2
"SBWP0075",525,840,17
"SBWP0076",510,816,17
"SBWP0079",60.12,96.19,1
"SBWP0080",116.9,187.04,6
"SBWP0081",569.71,933.54,17
"SBWP0083",54.65,87.44,1
"SBWP0084",47.55,76.08,3
"SBWP0085",31.51,50.42,1
"SBWP0086",28.96,46.34,1
"SBWP0087",392.7,616,18
"SBWP0089",393.5,526.08,18
"SBWP0090",25,40,1
"SBWP0091",77.98,124.77,1
"SBWP0103",57.4,91.84,3
"SBWP0135",261.45,418.32,32
"SBWP0136",46.18,73,1
"SBWP0137",96.66,154.66,5
"SBWP0143",4.2,6.72,1
"SBWP0144",43.34,69.34,1
"SBWP0145",20.25,32.4,1
"SBWP0146",45,72,25
"SBWP0148",478,764.8,50
"SBWP0149",0.93,1,2
"SBWP0150",3.99,49,1
"SBWP0156",1.2,1.92,1
"SBWP0157",7.03,11.25,1
"SBWP0158",19.9,31.84,5
"SBWP0159",3.1,4.96,1
"SBWP0160",2.45,3.92,1
"SBWP0172",0.98,1.57,1
"SBWP0173",785.8,1257.28,0
"SBWP0175",201,321.6,17
"SBWP0176",13,20.8,1
"SBWP0177",21.5,34.4,0
"SBWP0179",10.64,17.02,1
"SBWP0180",487.5,780,18
"SBWP0181",50.79,81.26,2
"SBWP0182",12.5,34.4,0
"SBWP0183",131.17,209.87,10
"SBWP0189",47.62,76.19,1
"SBWP0190",561,880,40
"SBWP0191",65,104,50
"SBWP0192",610.12,976.19,20
"SBWP0193",18.5,29.6,1
"SBWP0200",10.69,17.1,1
"SBWP0201",157.34,251.74,4
"SBWP0202",18.71,29.94,2
"SBWP0203",71,113.6,2
"SBWP0204",133.84,214.14,6
"SBWP0206",535,856,20
"SBWP0207",550,880,50
"SBWP0210",561,897.6,50
"SBWP0211",,824,0
"SBWP0212",,1032,0
"SBWP0213",110,176,3
"SBWP0214",250,400,17
"SBWP0215",517.95,828.72,20
"SBWP0216",818,1308.8,30
"SBWP0217",11.85,18.96,1
"SBWP0218",90.09,144.14,1
"SBWP1000",585,936,15
"SBWP1000A",,149.99,0
"SBWP1001",77.29,123.66,1
"SBWP1002",15.47,24.75,1
"SBWP1003",600,960,15
"SBWP1004",379.95,607.92,15
"SBWP1005",66.3,106.08,3
"SBWP1006",,1.41,0
"SBWP1007",,4.61,0
"SBWP1008",,3.18,0
"SBWP1011",288.74,461.98,13
"SBWP1012",80.63,129.01,2
"SBWP1013",13.24,21.18,1
"SBWP1014",66.68,106.69,10
"SBWP1015",143.33,229.33,15
"SBWP1016",,503.54,0
"SBWP1017",288.74,461.98,15
"SBWP1018",14.99,23.98,1
"SBWP1019",623,996.8,15
"SBWP1101",0.49,0.78,1
"SBWP2000",1096.52,1754.43,"contact us for freight quote"
"SBWP2001",72.6,116.16,2
"SBWP2002",35.92,57.42,1
"SBWP2003",47.08,75.33,10
"SBWP2004",40.6,64.96,1
"SBWP2005",52.42,83.87,2
"SBWP2006",38.95,62.32,5
"SBWP3000",271.03,433.65,"contact us for freight quote"
"SBWP3001",4.16,6.66,1
"SBWP3002",3.1,4.96,1
"SBWP3003",22.35,35.76,10
"SBWP3004",12.5,20,1
"SBWP9000",28.64,45.82,1
"SBWP9001",25,40,3
"SBWP9002",24.75,39.6,2
"SBWP9003",76.47,122.35,5
"SBWP9006",300.21,480.34,9
"SBWP9007",175.05,280.08,10
"SBWP9009",109.45,175.12,1
"SBWP9010",111.32,178.11,3
"SBWP9011",198.42,317.47,10
"SBWP9019",9.86,15.78,1
"SBWP9020",154.97,247.95,1
"SBWP9021",12.28,19.65,1
"SBWP9024",3.77,6.03,1
"SBWP9025",4.43,7.09,1
"SBWP9026",9.86,15.78,1
"SBWP9027",9.86,15.78,1
"SBWP9028",4.97,7.49,1
"SBWP9029",5.72,9.15,1
"SBWP9030",0.69,1.1,1
"SBWP9031",5.89,9.42,1
"SBWP9032",106.8,170.88,1
"SBWP9033",65.56,104.9,1
"SBWP9034",705.72,1129.15,50
"SBWP9035",48.23,77.17,7
"SBWP9036",0.59,0.94,1
"SBWP9037",0.88,1.41,1
"SBWP9038",0.65,1.04,1
"SBWP9099",971.61,1554.58,12
"SBWX3800",,150,11
"SBWX9998",,19.99,0
"SBWX9999",,34.99,0
"SBWY6000",,548.2,0
"Shipping & Handling",,5,0
"SBWE3034",71.95,115.12,3
"SBWE3021",22.45,35.92,1
"SBWE3022",17.95,28.72,1
"SBWE3020",31.45,50.32,1
"SBWE3031",39.95,63.92,1
"SBWE3019",71.95,115.12,2
"SBWY2022",243.42,550,16
"SBWC9024",10.61,16.98,1
"SBWC9023",6.22,9.95,1
"SBWC9022",4.26,6.82,1
"SBWC9025",10.61,16.98,1
"SBWC9040",93.06,148.9,2
"SBWC9041",230.25,368.4,3
"SBWB0201",6.7,10.72,1
"SBWB0202",5.4,8.64,1
"SBWP9004",45.94,73.5,5
"SBWE6000",61,98.08,2
"SBWE6001",49.11,78.58,1
"SBWC8022",53.62,85.79,6
"SBWI0100",4.98,6.53,1
"SBWN3005",5.28,8.45,1
"SBWN3006",5.28,8.45,1
"SBWP0226",430.82,689.31,3
"SBWP0231",195,312,10
"SBWE7016",8,12.8,1
"SBWN9007",12.47,19.95,2
"SBWI0117",19.99,31.98,2
"SBWE0114",3.75,6,1
"SBWE0125",11.51,18.42,1
"SBWE4012",10,16,1
"SBWP0232",131.17,209.87,10
"SBWP9053",329.5,527.2,20
